学科代码,学科名称,学科门类,学校代码,学校名称,评估等级,省份,城市
202,应用经济学,人文社科类,10487,华中科技大学,B+,湖北省,武汉市
202,应用经济学,人文社科类,10532,湖南大学,B+,湖南省,长沙市
202,应用经济学,人文社科类,10558,中山大学,B+,广东省,广州市
202,应用经济学,人文社科类,10559,暨南大学,B+,广东省,广州市
202,应用经济学,人文社科类,11482,浙江财经大学,B+,浙江省,杭州市
202,应用经济学,人文社科类,10007,北京理工大学,B,北京市,北京市
202,应用经济学,人文社科类,10011,北京工商大学,B,北京市,北京市
202,应用经济学,人文社科类,10125,山西财经大学,B,山西省,太原市
202,应用经济学,人文社科类,10141,大连理工大学,B,辽宁省,大连市
202,应用经济学,人文社科类,10247,同济大学,B,上海市,上海市
202,应用经济学,人文社科类,10269,华东师范大学,B,上海市,上海市
202,应用经济学,人文社科类,10273,上海对外经贸大学,B,上海市,上海市
202,应用经济学,人文社科类,10280,上海大学,B,上海市,上海市
202,应用经济学,人文社科类,10327,南京财经大学,B,江苏省,南京市
202,应用经济学,人文社科类,10357,安徽大学,B,安徽省,合肥市
202,应用经济学,人文社科类,10423,中国海洋大学,B,山东省,青岛市
202,应用经济学,人文社科类,10497,武汉理工大学,B,湖北省,武汉市
202,应用经济学,人文社科类,10593,广西大学,B,广西壮族自治区,南宁市
202,应用经济学,人文社科类,10611,重庆大学,B,重庆市,重庆市
202,应用经济学,人文社科类,10689,云南财经大学,B,云南省,昆明市
202,应用经济学,人文社科类,10200,东北师范大学,B-,吉林省,长春市
202,应用经济学,人文社科类,10240,哈尔滨商业大学,B-,黑龙江省,哈尔滨市
202,应用经济学,人文社科类,10251,华东理工大学,B-,上海市,上海市
202,应用经济学,人文社科类,10285,苏州大学,B-,江苏省,苏州市
202,应用经济学,人文社科类,10319,南京师范大学,B-,江苏省,南京市
202,应用经济学,人文社科类,10337,浙江工业大学,B-,浙江省,杭州市
202,应用经济学,人文社科类,10378,安徽财经大学,B-,安徽省,蚌埠市
202,应用经济学,人文社科类,10385,华侨大学,B-,福建省,泉州市
202,应用经济学,人文社科类,10475,河南大学,B-,河南省,开封市
202,应用经济学,人文社科类,10491,中国地质大学,B-,,
202,应用经济学,人文社科类,10534,湖南科技大学,B-,湖南省,湘潭市
202,应用经济学,人文社科类,10610,四川大学,B-,四川省,成都市
202,应用经济学,人文社科类,10730,兰州大学,B-,甘肃省,兰州市
202,应用经济学,人文社科类,11799,重庆工商大学,B-,重庆市,重庆市
202,应用经济学,人文社科类,11846,广东外语外贸大学,B-,广东省,广州市
202,应用经济学,人文社科类,91014,陆军勤务学院,B-,,
202,应用经济学,人文社科类,10027,北京师范大学,C+,北京市,北京市
202,应用经济学,人文社科类,10207,吉林财经大学,C+,吉林省,长春市
202,应用经济学,人文社科类,10403,南昌大学,C+,江西省,南昌市
202,应用经济学,人文社科类,10427,济南大学,C+,山东省,济南市
