学科代码,学科名称,学科门类,学校代码,学校名称,评估等级
0301,法学,人文社科类,10280,上海大学,C+
0301,法学,人文社科类,10385,华侨大学,C+
0301,法学,人文社科类,10511,华中师范大学,C+
0301,法学,人文社科类,10657,贵州大学,C+
0301,法学,人文社科类,10755,新疆大学,C+
0301,法学,人文社科类,11078,广州大学,C+
0301,法学,人文社科类,11646,宁波大学,C+
0301,法学,人文社科类,11846,广东外语外贸大学,C+
0301,法学,人文社科类,10004,北京交通大学,C
0301,法学,人文社科类,10028,首都师范大学,C
0301,法学,人文社科类,10065,天津师范大学,C
0301,法学,人文社科类,10125,山西财经大学,C
0301,法学,人文社科类,10166,沈阳师范大学,C
0301,法学,人文社科类,10173,东北财经大学,C
0301,法学,人文社科类,10251,华东理工大学,C
0301,法学,人文社科类,10294,河海大学,C
0301,法学,人文社科类,10394,福建师范大学,C
0301,法学,人文社科类,10484,河南财经政法大学,C
0301,法学,人文社科类,10524,中南民族大学,C
0301,法学,人文社科类,10656,西南民族大学,C
0301,法学,人文社科类,10674,昆明理工大学,C
0301,法学,人文社科类,11117,扬州大学,C
0301,法学,人文社科类,11832,河北经贸大学,C
0301,法学,人文社科类,10009,北方工业大学,C-
0301,法学,人文社科类,10011,北京工商大学,C-
0301,法学,人文社科类,10079,华北电力大学,C-
0301,法学,人文社科类,10270,上海师范大学,C-
0301,法学,人文社科类,10327,南京财经大学,C-
0301,法学,人文社科类,10346,杭州师范大学,C-
0301,法学,人文社科类,10378,安徽财经大学,C-
0301,法学,人文社科类,10497,武汉理工大学,C-
0301,法学,人文社科类,10574,华南师范大学,C-
0301,法学,人文社科类,10593,广西大学,C-
0301,法学,人文社科类,10602,广西师范大学,C-
0301,法学,人文社科类,11065,青岛大学,C-
0301,法学,人文社科类,11482,浙江财经大学,C-
0302,政治学,人文社科类,10001,北京大学,A+
0302,政治学,人文社科类,10246,复旦大学,A+
0302,政治学,人文社科类,10002,中国人民大学,A
0302,政治学,人文社科类,10003,清华大学,A-
0302,政治学,人文社科类,10055,南开大学,A-
0302,政治学,人文社科类,10183,吉林大学,A-
0302,政治学,人文社科类,10511,华中师范大学,A-
0302,政治学,人文社科类,10053,中国政法大学,B+
0302,政治学,人文社科类,10065,天津师范大学,B+
0302,政治学,人文社科类,10269,华东师范大学,B+
0302,政治学,人文社科类,10271,上海外国语大学,B+
0302,政治学,人文社科类,10284,南京大学,B+
0302,政治学,人文社科类,10384,厦门大学,B+
0302,政治学,人文社科类,10422,山东大学,B+
0302,政治学,人文社科类,10673,云南大学,B+
0302,政治学,人文社科类,10036,对外经济贸易大学,B
0302,政治学,人文社科类,10200,东北师范大学,B
0302,政治学,人文社科类,10276,华东政法大学,B
0302,政治学,人文社科类,10285,苏州大学,B
0302,政治学,人文社科类,10486,武汉大学,B
0302,政治学,人文社科类,10558,中山大学,B
0302,政治学,人文社科类,10559,暨南大学,B
0302,政治学,人文社科类,10027,北京师范大学,B-
0302,政治学,人文社科类,10030,北京外国语大学,B-
0302,政治学,人文社科类,10108,山西大学,B-
0302,政治学,人文社科类,10247,同济大学,B-
0302,政治学,人文社科类,10319,南京师范大学,B-
0302,政治学,人文社科类,10542,湖南师范大学,B-
0302,政治学,人文社科类,10574,华南师范大学,B-
0302,政治学,人文社科类,10610,四川大学,B-
0302,政治学,人文社科类,10638,西华师范大学,B-
0302,政治学,人文社科类,10028,首都师范大学,C+
0302,政治学,人文社科类,10248,上海交通大学,C+
0302,政治学,人文社科类,10270,上海师范大学,C+
0302,政治学,人文社科类,10385,华侨大学,C+
0302,政治学,人文社科类,10530,湘潭大学,C+
0302,政治学,人文社科类,10590,深圳大学,C+
0302,政治学,人文社科类,10652,西南政法大学,C+
0302,政治学,人文社科类,10140,辽宁大学,C
0302,政治学,人文社科类,10212,黑龙江大学,C
